FID,gridcode,area_km2
0,10369,30.133658832100000
1,10372,0.119914009186000
2,10375,1.672905332650000
3,10376,0.003391535247800
4,10377,1159.129869580000104
5,10385,7.490342215710000
6,10386,1477.903093180000042
7,10388,1663.277452029999949
8,10389,10.435956974200000
9,10390,21.283550488100001
10,10392,27.868358983800000
11,10402,30.983020403200001
12,10403,83.930937551900001
13,10404,35.601300848000001
14,10405,103.049546665999998
15,10406,17.827558192800002
16,10408,6.532502689830000
17,10409,5.341310404240000
18,10411,5.440566516420000
19,10414,197.926308917999989
20,10417,2.267541166930000
21,10418,0.766580135117000
22,10419,10.483232235899999
23,10420,23.363759399399999
24,10421,23.419615459799999
25,10424,13.678138576700000
26,10427,0.596078686134000
27,10429,9.535691187550000
28,10430,29.735630114900001
29,10438,28.564488797799999
30,10440,10.196660804300000
31,10441,41.674207828299998
32,17758,0.245505692902000
33,17759,0.005690185195920
34,17760,0.086333821136500
35,17761,2.244852562270000
36,17763,35.593073590099998
37,17764,7.685094169560000
38,17781,159.881073412999996
39,17782,4.755038561550000
40,17783,64.437718341199997
41,17784,1172.727104549999922
42,17787,34.559544556399999
43,17788,40.559125362700001
44,17789,0.074243464485200
45,17790,9.427544533460001
46,17792,5.318036520330000
47,17793,90.742825769500001
48,17795,69.757873201400002
49,17796,28.455536109499999
50,17797,47.105388981300003
51,17798,1561.253188630000068
52,17799,11.102290907500000
53,17800,763.572363573999951
54,17801,8.503568320419999
55,17802,247.248946297000003
56,17804,0.004929794204710
57,17806,0.091867753822300
58,17809,22.838836723299998
59,17811,9.657539104850001
60,17814,260.103395438000007
61,17815,40.800649833000001
62,17816,21.317786456699999
63,17817,8.722156749340000
64,17818,0.014825277458200
65,17819,6.801559523060000
66,17820,11.383525154200001
67,17821,11.383414864100001
68,17822,0.048776529991100
69,17823,1.066436444750000
70,17893,5.347623183590000
71,18172,4.424312942230000
72,18174,3.618314410530000
73,18175,1.578325910940000
74,18176,5.490292838940000
75,18182,550.173710444999983
76,18184,141.631927101000002
77,18185,56.923859723500001
78,18187,13.802635456999999
79,18188,4.171225533050000
80,18189,38.968897505199998
81,18194,5.163265909340000
82,18195,12.893447263000001
83,18197,0.146884915646000
84,18199,89.630615072099999
85,18201,69.474446770200004
86,18202,4.252613132780000
87,18203,6.700896442130000
88,18205,15.241334465500000
89,18207,15.154431872900000
90,18208,12.275182469100001
91,18213,67.860934094000001
92,18214,33.969109940999999
93,18215,7.690329346340000
94,18288,4.042737700810000
95,18289,95.208250851700001
96,18290,4.444986636240000
97,18292,0.027222372627300
98,18301,305.252569891000007
99,18304,447.620275601000003
100,18309,0.324314358501000
101,18310,1.356505696940000
102,18317,98.574084228800004
103,18318,9.105078224040000
104,18319,0.005341666294290
105,18320,46.257445519299999
106,18322,0.341845206974000
107,18323,0.018353201423600
108,18324,0.020897556831400
109,18325,0.003695195678710
110,18336,28.092595889700000
111,18338,14.884403010800000
112,18374,4.884978753140000
113,18384,0.006105306808470
114,23372,2.366843253990000
115,23500,17.410520485700001
116,23874,24.160342222400001
117,24214,32.735587775299997
118,24248,0.064655173187300
119,24466,19.509527087399999
120,24615,2.736871431920000
121,24659,14.509423688200000
122,25110,5.981889326690000
123,25138,82.124267459799995
124,25543,9.961365106600001
125,26713,16.429463722800001
126,28616,352.489843359000020
127,2047500,738.000116819000027
128,2047783,1076.291557190000049
129,2049500,1564.060276070000100
130,2050000,1696.148244420000083
